date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:00	103826/103826	---M-Z	200	added ('OK')	text/html	etag:%22159a111b-19592-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/typography.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/typography.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:00	64146/64146	---M-Z	200	added ('OK')	text/html	etag:%22159a1115-fa92-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/syntax-highlighter.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/syntax-highlighter.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:01	82865/82865	---M-Z	200	added ('OK')	text/html	etag:%22159a1100-143b1-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/helper-classes.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/helper-classes.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:01	82140/82140	---M-Z	200	added ('OK')	text/html	etag:%22159a1118-140dc-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/text-utilities.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/text-utilities.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:01	157410/157410	---M-Z	200	added ('OK')	text/html	etag:%22159a10f9-266e2-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/feather.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/feather.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:02	69372/69372	---M-Z	200	added ('OK')	text/html	etag:%22159a10fa-10efc-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/font-awesome.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/font-awesome.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:02	123368/123368	---M-Z	200	added ('OK')	text/html	etag:%22159a1111-1e1e8-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/simple-line.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/simple-line.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:04	62445/62445	---M-Z	200	added ('OK')	text/html	etag:%22159a10e6-f3ed-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-lists.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-lists.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:04	295056/295056	---M-Z	200	added ('OK')	text/html	etag:%22159a10e1-48090-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-buttons.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-buttons.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:05	83176/83176	---M-Z	200	added ('OK')	text/html	etag:%22159a10df-144e8-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-alerts.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-alerts.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:05	62867/62867	---M-Z	200	added ('OK')	text/html	etag:%22159a10e0-f593-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-badges.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-badges.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:06	86043/86043	---M-Z	200	added ('OK')	text/html	etag:%22159a10e5-1501b-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-dropdowns.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-dropdowns.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:06	87125/87125	---M-Z	200	added ('OK')	text/html	etag:%22159a10e7-15455-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-media-objects.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-media-objects.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:06	64885/64885	---M-Z	200	added ('OK')	text/html	etag:%22159a10e9-fd75-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-pagination.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-pagination.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:07	62256/62256	---M-Z	200	added ('OK')	text/html	etag:%22159a10eb-f330-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-progress.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-progress.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:07	113808/113808	---M-Z	200	added ('OK')	text/html	etag:%22159a10e8-1bc90-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-modals.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-modals.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
13:30:07	68165/68165	---M-Z	200	added ('OK')	text/html	etag:%22159a10e3-10a45-565bbe7ee5800%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-collapse.html	/home/ian-dot/websites/p4/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/components-collapse.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-3/index.html)
